,Jersey,First Name,Last Name,Pitching Strength,Hitting Strength,Position,Team Abbrieviation,Team Organization
0,1,Susannah,Anderson,Right,Right,P/1B,BC,Boston
1,2,Lexi,DiEmmanuele,Right,Left,OF,BC,Boston
2,3,Kennedy,Labshere,Right,Right,1B/3B,BC,Boston
3,5,Kristin,Giery,Right,Right,P/1B,BC,Boston
4,9,CC,Cook,Right,Right,P/OF,BC,Boston
5,10,Gianna,Randazza,Right,Right,OF,BC,Boston
6,12,Kendra,Friedt,Right,Right,P,BC,Boston
7,13,Allyson,Moore,Left,Left,C/1B,BC,Boston
8,14,Jules,Trevino,Left,Left,1B,BC,Boston
9,15,Jenna,Ergle,Right,Right,3B,BC,Boston
10,16,Ellie,Mataya,Left,Left,OF,BC,Boston
11,19,Maddison,Hamilton,Right,Right,UT,BC,Boston
12,21,Gianna,Boccagno,Right,Right,C/3B,BC,Boston
13,22,Camryn,Dolby,Right,Right,P,BC,Boston
14,23,Carlie,Sanders,Right,Right,SS/OF,BC,Boston
15,25,Britney,Richardson,Right,Right,OF,BC,Boston
16,33,Carly,Severini,Right,Right,SS/2B,BC,Boston
17,44,Emme,Martinez,Right,Right,C/3B,BC,Boston
