,Jersey,First Name,Last Name,Pitching Strength,Hitting Strength,Position,Team Abbrieviation,Team Organization
0,1,Carson,Shaner,Right,Left,OF,NC State,North Carolina State
1,2,Keisha,White,Right,Right,OF,NC State,North Carolina State
2,3,Sam,Russ,Right,Left,OF,NC State,North Carolina State
3,6,Kelsey,O'Connor,Right,Right,OF,NC State,North Carolina State
4,8,Madeline,Curtis,Right,Left,IF,NC State,North Carolina State
5,9,Sam,Gress,Right,Right,P/IF,NC State,North Carolina State
6,10,Logan,Morris,Right,Right,IF,NC State,North Carolina State
7,11,Libby,Whittaker,Right,Right,IF,NC State,North Carolina State
8,13,Randi,Farricker,Right,Right,IF,NC State,North Carolina State
9,16,Tatyana,Forbes,Right,Left,OF,NC State,North Carolina State
10,17,Grace,Johnson,Right,Right,UT,NC State,North Carolina State
11,18,Sam,Sack,Right,Left,C,NC State,North Carolina State
12,20,April,Visser,Right,Right,IF,NC State,North Carolina State
13,21,Sydney,Nester,Right,Right,P,NC State,North Carolina State
14,24,Abby,Trahan,Right,Right,P,NC State,North Carolina State
15,25,Devin,Wallace,Right,Left,P,NC State,North Carolina State
16,27,Bailee,Bryant,Right,Right,IF,NC State,North Carolina State
17,28,Brigette,Nordberg,Right,Right,ULT,NC State,North Carolina State
18,34,Skylar,Johnston,Right,Right,IF,NC State,North Carolina State
19,42,Angie,Rizzi,Right,Left,OF,NC State,North Carolina State
