,Jersey,First Name,Last Name,Pitching Strength,Hitting Strength,Position,Team Abbrieviation,Team Organization
0,1,Connor,McGaffic,Right,Right,OF,PIT,Pittsburg
1,2,Jada,Crittendon,Right,Right,OF,PIT,Pittsburg
2,3,Hannah,Bach,Right,Right,C/U,PIT,Pittsburg
3,4,Makenzie,Stiles,Right,Right,P,PIT,Pittsburg
4,5,Hunter,Levesque,Right,Right,OF/INF,PIT,Pittsburg
5,6,Hope,Alley,Right,Right,INF,PIT,Pittsburg
6,7,Kaitlyn,Kruger,Right,Right,INF/OF,PIT,Pittsburg
7,8,Kayla,Lane,Right,Right,INF,PIT,Pittsburg
8,9,Chandler,Walter,Right,Right,INF,PIT,Pittsburg
9,11,LoLo,Sanchez,Right,Left,INF,PIT,Pittsburg
10,12,Taegen,Lewellen,Right,Right,U,PIT,Pittsburg
11,14,Brie,Horrell,Right,Right,C/U,PIT,Pittsburg
12,18,Walker,Barbee,Right,Right,C,PIT,Pittsburg
13,20,Sarah,Seamans,Right,Right,OF,PIT,Pittsburg
14,23,Abby,Edwards ,Right,Right,P/U,PIT,Pittsburg
15,26,Morgan,Batesole,Right,Right,INF,PIT,Pittsburg
16,27,Katlyn,Pavlick,Right,Right,OF/INF,PIT,Pittsburg
17,30,Brittany,Knight,Right,Left,P/INF,PIT,Pittsburg
18,31,Alexee,Haynes,Right,Right,INF,PIT,Pittsburg
19,99,Becca,Miller,Right,Right,P/INF,PIT,Pittsburg
