,Jersey,First Name,Last Name,Pitching Strength,Hitting Strength,Position,Team Abbrieviation,Team Organization
0,1,Jaime,Barta,Right,Left,INF,SU,Syracuse
1,2,Alex,Acevedo,Right,Right,IF,SU,Syracuse
2,3,Rebecca,Clyde,Right,Left,INF,SU,Syracuse
3,4,Gabby,Teran,Right,Right,INF,SU,Syracuse
4,5,Catherine,Dobbs,Right,Left,P/IF,SU,Syracuse
5,6,Mia,Cunnings,Right,Left,INF,SU,Syracuse
6,7,Jessica,Skladal,Right,Left,OF,SU,Syracuse
7,8,Miranda,Hearn,Right,Right,P/INF,SU,Syracuse
8,9,Alexis,Kaiser,Right,Right,C,SU,Syracuse
9,11,Neli,Casares-Maher,Right,Right,INF,SU,Syracuse
10,12,Jaime,Gregg,Right,Left,OF,SU,Syracuse
11,15,Kaia,Oliver,Right,Left,P,SU,Syracuse
12,15,Judith,Padilla,Right,Left,IF,SU,Syracuse
13,21,Paris,Woods,Right,Left,OF,SU,Syracuse
14,23,Lailoni,Mayfield,Right,Left,UTIL,SU,Syracuse
15,26,Toni,Martin,Right,Right,OF,SU,Syracuse
16,27,Alexa,Romero,Left,Left,P,SU,Syracuse
