,Jersey,First Name,Last Name,Pitching Strength,Hitting Strength,Position,Team Abbrieviation,Team Organization
0,0,Brittany,West,Right,Right,OF,UNC,University of North Carolina
1,1,Kiersten,Licea,Right,Right,1B,UNC,University of North Carolina
2,5,Campbell,Hutcherson,Right,Left,1B,UNC,University of North Carolina
3,6,Hailey,Cole,Right,Left,IF,UNC,University of North Carolina
4,7,Alyssa,Stanley,Left,Left,P/1B,UNC,University of North Carolina
5,9,Lexi,Godwin,Right,Right,P/1B,UNC,University of North Carolina
6,10,Kristina,Burkhardt,Left,Left,OF,UNC,University of North Carolina
7,11,Katie,Perkins,Left,Left,UT,UNC,University of North Carolina
8,13,Katie,Grace,Right,Right,P,UNC,University of North Carolina
9,14,Dominique,Monteon,Right,Right,UT,UNC,University of North Carolina
10,17,Michaela,Cotton,Right,Right,SS,UNC,University of North Carolina
11,18,Taylor,Puetz,Right,Left,C/OF,UNC,University of North Carolina
12,21,Shayla,Thompson,Right,Left,OF,UNC,University of North Carolina
13,24,Hannah,Nommensen,Right,Right,P,UNC,University of North Carolina
14,27,Bri,Stubbs,Right,Left,OF,UNC,University of North Carolina
15,28,Brittany,Pickett,Left,Left,P/1B,UNC,University of North Carolina
16,29,Abby,Settlemyre,Right,Left,IF,UNC,University of North Carolina
17,33,Zoë,Goodman,Right,Right,C,UNC,University of North Carolina
18,34,Gaby,Katz,Right,Right,P/UT,UNC,University of North Carolina
19,42,Hannah,George,Right,Right,P,UNC,University of North Carolina
20,47,Destiny,Middleton,Right,Left,IF,UNC,University of North Carolina
21,55,Megan,Dray,Right,Right,C/1B,UNC,University of North Carolina
