,Jersey,First Name,Last Name,Pitching Strength,Hitting Strength,Position,Team Abbrieviation,Team Organization
0,2,Jayme,Bailey,Right,Right,U,VT,Virginia Tech
1,3,Keely,Rochard,Right,Right,P,VT,Virginia Tech
2,4,Darby,Trull,Left,Left,OF,VT,Virginia Tech
3,5,Hannah,Brown,Right,Left,OF,VT,Virginia Tech
4,6,Skyler,DeHart,Left,Left,P,VT,Virginia Tech
5,7,Keara,Napoli,Right,Right,P,VT,Virginia Tech
6,8,Kelsey,Bennett,Right,Right,IF,VT,Virginia Tech
7,9,Al,Velazquez,Left,Left,OF,VT,Virginia Tech
8,10,Olivia,Lattin,Right,Right,IF,VT,Virginia Tech
9,11,Cana,Davis,Right,Right,OF,VT,Virginia Tech
10,12,Ashley,Whitley,Right,Right,U,VT,Virginia Tech
11,13,Kate,Kobayashi,Right,Right,OF,VT,Virginia Tech
12,14,Ansley,Whitley,Right,Right,U,VT,Virginia Tech
13,15,Emma,Yates,Right,Right,C/OF,VT,Virginia Tech
14,16,Meredith,Slaw,Right,Left,IF,VT,Virginia Tech
15,17,Molly,Jacobson,Right,Right,P,VT,Virginia Tech
16,18,Mackenzie,Lawter,Right,Right,C,VT,Virginia Tech
17,19,Maddie,Rountree,Right,Right,IF,VT,Virginia Tech
18,21,Kelsey,Brown,Right,Left,OF,VT,Virginia Tech
19,22,Mara,Strum,Right,Right,P,VT,Virginia Tech
20,27,Rebecca,Ludowig,Right,Right,U,VT,Virginia Tech
21,28,Grace,Chavez,Right,Right,C,VT,Virginia Tech
22,29,Maddi,Banks,Right,Left,U,VT,Virginia Tech
23,30,Madison,Gemmill,Right,Right,C,VT,Virginia Tech
24,31,Kayleigh,Addington,Right,Right,C,VT,Virginia Tech
25,32,Grayson,Cruce,Left,Left,U,VT,Virginia Tech
26,33,Kaylee,Hewitt,Right,Right,P,VT,Virginia Tech
27,44,Georgia,Blair,Right,Right,U,VT,Virginia Tech
